Motion Sensor Data File Oct 15, 2024 2:31 PM
Time (s)	Distance (cm)	Dist Error (cm)
10.280	21.686	0.239
10.290	21.759	0.239
10.300	21.844	0.239
10.310	21.964	0.239
10.320	22.102	0.239
10.330	22.256	0.239
10.340	22.428	0.239
10.350	22.638	0.239
10.360	22.840	0.239
10.370	23.063	0.239
10.380	23.321	0.239
10.390	23.570	0.239
10.400	23.832	0.239
10.410	24.111	0.239
10.420	24.382	0.239
10.430	24.674	0.239
10.440	24.957	0.239
10.450	25.232	0.239
10.460	25.520	0.239
10.470	25.795	0.239
10.480	26.065	0.239
10.490	26.341	0.239
10.500	26.585	0.239
10.510	26.817	0.239
10.520	27.057	0.239
10.530	27.263	0.239
10.540	27.452	0.239
10.550	27.633	0.239
10.560	27.787	0.239
10.570	27.928	0.239
10.580	28.040	0.239
10.590	28.126	0.239
10.600	28.199	0.239
10.610	28.233	0.239
10.620	28.250	0.239
10.630	28.254	0.239
10.640	28.219	0.239
10.650	28.159	0.239
10.660	28.094	0.239
10.670	27.981	0.239
10.680	27.857	0.239
10.690	27.719	0.239
10.700	27.546	0.239
10.710	27.374	0.239
10.720	27.163	0.239
10.730	26.943	0.239
10.740	26.720	0.239
10.750	26.461	0.239
10.760	26.199	0.239
10.770	25.949	0.239
10.780	25.669	0.239
10.790	25.385	0.239
10.800	25.106	0.239
10.810	24.817	0.239
10.820	24.529	0.239
10.830	24.262	0.239
10.840	23.978	0.239
10.850	23.720	0.239
10.860	23.453	0.239
10.870	23.198	0.239
10.880	22.979	0.239
10.890	22.747	0.239
10.900	22.540	0.239
10.910	22.359	0.239
10.920	22.187	0.239
10.930	22.036	0.239
10.940	21.915	0.239
10.950	21.803	0.239
10.960	21.721	0.239
10.970	21.674	0.239
10.980	21.635	0.239
10.990	21.630	0.239
11.000	21.642	0.239
11.010	21.677	0.239
11.020	21.745	0.239
11.030	21.822	0.239
11.040	21.930	0.239
11.050	22.067	0.239
11.060	22.213	0.239
11.070	22.380	0.239
11.080	22.582	0.239
11.090	22.779	0.239
11.100	23.007	0.239
11.110	23.251	0.239
11.120	23.496	0.239
11.130	23.767	0.239
11.140	24.033	0.239
11.150	24.304	0.239
11.160	24.591	0.239
11.170	24.871	0.239
11.180	25.150	0.239
11.190	25.442	0.239
11.200	25.717	0.239
11.210	25.987	0.239
11.220	26.258	0.239
11.230	26.503	0.239
11.240	26.747	0.239
11.250	26.988	0.239
11.260	27.198	0.239
11.270	27.409	0.239
11.280	27.580	0.239
11.290	27.739	0.239
11.300	27.885	0.239
11.310	28.001	0.239
11.320	28.091	0.239
11.330	28.172	0.239
11.340	28.215	0.239
11.350	28.236	0.239
11.360	28.244	0.239
11.370	28.218	0.239
11.380	28.166	0.239
11.390	28.106	0.239
11.400	28.002	0.239
11.410	27.895	0.239
11.420	27.756	0.239
11.430	27.589	0.239
11.440	27.421	0.239
